feature,correlation
rms_mean_zscore,0.6032399106233752
bp_1k_5k_mean_bearing_min,0.5775634425132974
bp_1k_5k_mean_bearing_mean,0.4923921289740013
std_mean_zscore,0.47977952422554077
bp_1k_5k_mean_ema_10,0.47464928566114495
rms_mean_ema_10,0.4700081023164766
bp_1k_5k_mean_roll_10_mean,0.46637081222261945
bp_1k_5k_mean_ema_30,0.464594789801778
bp_1k_5k_mean_roll_5_mean,0.463792219978908
bp_1k_5k_mean_ema_50,0.4626741171380297
bp_1k_5k_mean_roll_3_mean,0.46192014357035277
rms_mean_roll_10_mean,0.4616583835062985
bp_1k_5k_mean,0.4601611425682752
rms_mean_ema_30,0.45851201848878104
rms_mean_roll_5_mean,0.45724342181403926
rms_mean_bearing_mean,0.4542660708281085
rms_mean_ema_50,0.4536367327806446
rms_mean_roll_3_mean,0.4531642891757267
rms_mean_bearing_max,0.4477328671222643
rms_mean_bearing_min,0.445533670459407
rms_mean,0.43844782045148084
bp_1k_5k_std_ema_10,0.41596073272846873
bp_1k_5k_mean_bearing_max,0.41275631341358726
bp_1k_5k_std_roll_10_std,0.4121504277941445
bp_1k_5k_std_roll_10_mean,0.39736337614720035
spec_centroid_std_zscore,0.39732649615790844
bp_1k_5k_std_bearing_min,0.3916492937324774
bp_1k_5k_mean_roll_10_std,0.3901014315426023
bp_1k_5k_std_ema_30,0.37641688498434245
bp_1k_5k_std_roll_5_mean,0.3740825528246269
bp_1k_5k_mean_zscore,0.36135786084088073
bp_1k_5k_std_bearing_mean,0.3539751511991386
bp_1k_5k_std_roll_3_mean,0.35113523645773376
peak_to_peak_mean_zscore,0.351021043997002
bp_1k_5k_std_ema_50,0.3502633735277149
bp_1k_5k_mean_roll_5_std,0.31900228636304534
kurtosis_mean_bearing_range,0.3162958531126394
bp_1k_5k_std_roll_5_std,0.31205964859081
bp_1k_5k_std,0.2880521553265132
spec_centroid_std_bearing_min,0.2866061418028106
bp_1k_5k_std_bearing_max,0.28610394937134304
spec_centroid_std_ema_10,0.28448842348526876
spec_centroid_std_roll_10_mean,0.2705941761927887
spec_centroid_mean_zscore,0.2627545858387726
peak_to_peak_mean_bearing_min,0.259285256810392
spec_centroid_std_bearing_mean,0.2576840142344109
spec_centroid_std_ema_30,0.24825527748531873
peak_to_peak_mean_bearing_mean,0.2476976611137379
peak_to_peak_mean_ema_10,0.24441849901344812
spec_centroid_std_roll_5_mean,0.24416956545544402
bp_1k_5k_mean_roll_3_std,0.24245175835029337
peak_to_peak_mean_roll_10_std,0.2391622211058087
peak_to_peak_mean_roll_10_mean,0.23812441896484132
peak_to_peak_mean_ema_30,0.23707035627613085
peak_to_peak_mean_roll_5_mean,0.23675087007046405
peak_to_peak_mean_ema_50,0.23552460239727818
peak_to_peak_mean_roll_3_mean,0.2354842513418968
peak_to_peak_mean,0.23215578624786923
skew_mean_bearing_min,0.2283711364162733
peak_to_peak_mean_bearing_max,0.22644088201610663
spec_centroid_std_roll_3_mean,0.2263026037043005
spec_centroid_std_ema_50,0.2262341894621798
spec_centroid_mean_bearing_range,0.22117918231061795
peak_to_peak_std_roll_10_std,0.218610628926284
bp_1k_5k_std_roll_3_std,0.21738307818665858
crest_factor_mean_bearing_max,0.20686439503472798
spec_centroid_std_bearing_max,0.20588510703541157
std_mean_bearing_max,0.2032177513445236
peak_to_peak_std_ema_10,0.20238498597260235
spec_centroid_std,0.20039736831184538
peak_to_peak_mean_roll_5_std,0.19930583859702483
peak_to_peak_mean_bearing_range,0.19652863435804852
std_mean_ema_10,0.19508074654676738
std_mean_roll_10_std,0.19252606052423263
std_mean_roll_10_mean,0.1909890199904348
std_mean_bearing_mean,0.19045157420615078
crest_factor_mean_bearing_range,0.1899794577490179
std_mean_ema_30,0.1896939935783234
std_mean_bearing_range,0.18966385989857532
std_mean_roll_5_mean,0.18963031194531524
std_mean_ema_50,0.18885280297633944
std_mean_roll_3_mean,0.18865741991464305
bp_0_1k_mean_zscore,0.18861272030436738
std_mean,0.1882211006707053
peak_to_peak_std_roll_10_mean,0.1845302943729474
skew_mean_ema_10,0.18322708054440434
peak_to_peak_std_ema_30,0.18119614125128086
skew_mean_bearing_mean,0.17822338161457427
peak_to_peak_std_roll_5_mean,0.1778035975776363
std_mean_bearing_min,0.1777548749365
bp_1k_5k_mean_bearing_range,0.1763052392664116
skew_mean_roll_10_mean,0.1751098369412408
peak_to_peak_std_roll_5_std,0.17463793608161007
bp_1k_5k_std_zscore,0.16845924362690398
peak_to_peak_std_roll_3_mean,0.1670854969682799
skew_mean_roll_5_mean,0.16592860986457042
skew_mean_ema_30,0.16461603472302663
peak_to_peak_std_ema_50,0.16266822842764836
crest_factor_mean_ema_10,0.1625078458069192
crest_factor_mean_roll_10_mean,0.16044784275073065
peak_to_peak_std_bearing_max,0.15864079192293074
rms_std_ema_10,0.15800208598915655
bp_5k_10k_mean_zscore,0.15692808798923552
spec_centroid_mean_roll_10_std,0.15448001098653927
std_mean_roll_5_std,0.15408690177139486
crest_factor_mean_ema_30,0.15400363752725102
skew_mean_roll_3_mean,0.15378782195214724
rms_std_roll_10_std,0.15362492115274956
crest_factor_mean_roll_5_mean,0.15213141617402598
skew_mean_ema_50,0.15142100209533046
peak_to_peak_std_bearing_mean,0.14949419618474688
crest_factor_mean_ema_50,0.14554837722409564
bp_0_1k_std_roll_10_std,0.1454910984707445
skew_mean_zscore,0.14384337489962656
crest_factor_mean_roll_3_mean,0.1435881366567855
crest_factor_mean_bearing_mean,0.14321283939259505
peak_to_peak_std_roll_3_std,0.14204796347585724
peak_to_peak_mean_roll_3_std,0.14004830870054435
rms_mean_bearing_range,0.1399822280919009
crest_factor_mean_zscore,0.13690802922276657
rms_std_roll_5_std,0.1348577225873982
rms_std_roll_10_mean,0.1327498434418423
skew_mean_bearing_range,0.1316748892909408
spec_centroid_std_roll_10_std,0.1301870793929318
spec_centroid_mean_bearing_mean,0.12763746872440984
rms_std_ema_30,0.12216740193410512
peak_to_peak_std,0.12157670787457908
rms_std_roll_5_mean,0.12102989868036937
spec_centroid_mean_bearing_min,0.12094967350000946
kurtosis_mean_zscore,0.12054138893642047
bp_5k_10k_std_zscore,0.12040190451438346
kurtosis_std_zscore,0.11980877784074867
crest_factor_mean,0.11903481483264977
skew_mean,0.11780729071847965
kurtosis_mean_bearing_max,0.11451059769355275
rms_std_roll_3_std,0.11426737071264637
spec_centroid_mean_roll_5_std,0.1135643549648324
bp_0_1k_std_bearing_mean,0.11254721158960412
std_std_roll_10_std,0.1115874188396272
peak_to_peak_std_bearing_min,0.11095373252385601
kurtosis_mean_bearing_min,0.1106627721320885
bp_0_1k_mean_roll_10_std,0.11003279696697567
bp_0_1k_std_bearing_max,0.1094763293804601
rms_std_roll_3_mean,0.10877813119774314
peak_to_peak_std_bearing_range,0.1081035948293878
std_mean_roll_3_std,0.10798269362335526
bp_5k_10k_mean_bearing_range,0.10698399705509491
bp_0_1k_mean_bearing_max,0.10695167807153656
bp_0_1k_std_ema_10,0.10667882205716478
bp_0_1k_std_roll_5_std,0.10664657006995396
bp_0_1k_mean_bearing_range,0.10601569180913903
bp_0_1k_std_bearing_min,0.1057304373270286
spec_centroid_mean_bearing_max,0.1054296550691463
rms_std_bearing_min,0.10437940233661475
bp_0_1k_std_roll_5_mean,0.10344157490155333
bp_0_1k_std_roll_10_mean,0.10310251495373343
bp_0_1k_std_ema_30,0.1027688788844483
rms_std_ema_50,0.10166286828018672
bp_0_1k_std_ema_50,0.10123853047446618
bp_0_1k_std_roll_3_mean,0.10112348770313638
bp_5k_10k_mean_bearing_max,0.0995407396242641
spec_centroid_std_roll_5_std,0.09926471835136662
bp_0_1k_std,0.09897534186231709
peak_to_peak_std_zscore,0.09892913916401068
bp_0_1k_std_zscore,0.09635486366212576
crest_factor_std_roll_10_std,0.09542598925840695
bp_0_1k_mean_ema_10,0.09452669361327809
rms_std_bearing_mean,0.0920475986685674
kurtosis_std_roll_10_std,0.09192426257650847
bp_0_1k_mean_roll_5_std,0.09176844107704232
std_std_roll_5_std,0.09173298306144252
bp_5k_10k_std_bearing_min,0.08964241343992678
bp_0_1k_std_roll_3_std,0.08908691597338485
kurtosis_std_bearing_min,0.08780294336589346
bp_5k_10k_std_bearing_mean,0.08734561464648057
bp_0_1k_mean_roll_10_mean,0.08655257361269883
bp_5k_10k_mean_ema_10,0.08423162900843163
bp_5k_10k_mean_bearing_mean,0.0832014579102657
rms_mean_roll_5_std,0.08275944573461014
bp_5k_10k_mean_roll_10_mean,0.08200287104309156
bp_5k_10k_mean_roll_5_mean,0.08155427960443797
bp_5k_10k_mean_ema_30,0.08153501611784125
bp_5k_10k_mean_roll_3_mean,0.08135414027001919
bp_5k_10k_mean_ema_50,0.08120629329622427
bp_5k_10k_mean,0.08118460163889335
kurtosis_std_roll_10_mean,0.0807516466332423
bp_0_1k_mean_ema_30,0.0801628081944322
kurtosis_std_ema_10,0.08010088120382883
bp_0_1k_mean_roll_5_mean,0.07872759316691512
spec_centroid_mean_roll_10_mean,0.07631536602514954
spec_centroid_mean_roll_3_std,0.07450862166301556
spec_centroid_mean_ema_30,0.07442239421417826
bp_5k_10k_std_bearing_max,0.07403666188003061
spec_centroid_mean_ema_10,0.07400516933856635
rms_mean_roll_3_std,0.07393887293658638
kurtosis_std_ema_30,0.07363542882869703
std_std_roll_3_std,0.07346432306307438
skew_std_zscore,0.07319936792722426
spec_centroid_mean_roll_5_mean,0.07302574145506097
bp_0_1k_mean_roll_3_mean,0.07199032792061412
bp_0_1k_mean_roll_3_std,0.07163068717985764
bp_0_1k_mean_ema_50,0.07162568436233044
spec_centroid_mean_ema_50,0.0714865605755806
spec_centroid_mean,0.07096254392182934
rms_std,0.07028556595641838
spec_centroid_mean_roll_3_mean,0.07013236785929795
kurtosis_std_roll_5_std,0.07009619430274375
kurtosis_std_roll_5_mean,0.06991150547428471
kurtosis_mean_roll_5_std,0.06958703030034055
kurtosis_mean_roll_10_std,0.06896872096557147
bp_5k_10k_mean_bearing_min,0.0687502275602669
crest_factor_std_zscore,0.06851394893683123
kurtosis_std_ema_50,0.0684132742809393
crest_factor_std_roll_5_std,0.06827211531202529
spec_centroid_std_roll_3_std,0.0681327376513423
rms_std_bearing_max,0.06801470466315228
bp_0_1k_mean_bearing_mean,0.06792160426684019
rms_mean_roll_10_std,0.06671453483603022
bp_0_1k_mean,0.06640310901113342
rms_std_zscore,0.06631785874731291
bp_5k_10k_std_roll_10_mean,0.06578641563038927
skew_mean_bearing_max,0.06561643872021662
kurtosis_std_roll_3_mean,0.06395869514418344
bp_5k_10k_std_roll_5_mean,0.0625932045479285
bp_5k_10k_std_ema_30,0.06207934231652814
kurtosis_mean_roll_3_std,0.06198347466474106
kurtosis_std_bearing_mean,0.06161089783880689
bp_5k_10k_std_ema_10,0.0614937534129374
std_std_roll_10_mean,0.06140883402886936
kurtosis_mean_ema_30,0.06039149136768489
kurtosis_mean_roll_10_mean,0.06014859101651131
kurtosis_mean_ema_50,0.06010691464974271
kurtosis_mean_roll_5_mean,0.05959916958451009
kurtosis_mean_roll_3_mean,0.059485903713259417
bp_5k_10k_std_ema_50,0.058136250218694584
crest_factor_mean_bearing_min,0.05788983119900775
kurtosis_mean_ema_10,0.05782835003508925
kurtosis_mean_bearing_mean,0.05780743774203904
bp_0_1k_mean_bearing_min,0.05746314421558914
crest_factor_std_roll_10_mean,0.05741014589149415
bp_5k_10k_std_roll_3_mean,0.05739043763042287
kurtosis_mean,0.05699132410738017
std_std_ema_10,0.05550678090483028
crest_factor_std_roll_5_mean,0.05494478201613534
crest_factor_std_bearing_min,0.05456688731656039
kurtosis_std,0.054032175986744514
crest_factor_std_roll_3_std,0.0525175441256688
crest_factor_std_ema_30,0.05220092857470252
crest_factor_std_roll_3_mean,0.05047384288891752
kurtosis_std_roll_3_std,0.04974233871315422
crest_factor_std_ema_50,0.04929652465556672
std_std_ema_30,0.048588943985909225
std_std_roll_5_mean,0.047929473237052544
crest_factor_std_ema_10,0.047807126194516415
std_std_bearing_range,0.04750042615060989
bp_5k_10k_std,0.047281254050167164
spec_centroid_std_slope_10,0.046833944473563906
crest_factor_std_bearing_mean,0.04619517127735458
skew_std_bearing_range,0.04425410766122986
rms_mean_slope_10,0.04421936659003576
crest_factor_std_bearing_range,0.04404174039841367
