feature,rank
bp_1k_5k_mean_ema_10,1
bp_1k_5k_mean_bearing_min,2
std_mean_bearing_max,3
peak_to_peak_mean_ema_10,4
rms_mean_zscore,5
kurtosis_mean_ema_10,6
peak_to_peak_mean_bearing_min,7
spec_centroid_mean_ema_30,8
rms_mean,9
bp_1k_5k_std_ema_10,10
bp_1k_5k_std_roll_10_std,11
bp_1k_5k_std_roll_10_mean,12
spec_centroid_std_zscore,13
bp_1k_5k_std_bearing_min,14
bp_1k_5k_mean_roll_10_std,15
bp_1k_5k_std_ema_30,16
bp_1k_5k_std_roll_5_mean,17
bp_1k_5k_mean_zscore,18
bp_1k_5k_std_bearing_mean,19
bp_1k_5k_std_roll_3_mean,20
peak_to_peak_mean_zscore,21
bp_1k_5k_std_ema_50,22
bp_1k_5k_mean_roll_5_std,23
kurtosis_mean_bearing_range,24
bp_1k_5k_std_roll_5_std,25
bp_1k_5k_std,26
spec_centroid_std_bearing_min,27
bp_1k_5k_std_bearing_max,28
spec_centroid_std_ema_10,29
spec_centroid_std_roll_10_mean,30
spec_centroid_mean_zscore,31
spec_centroid_std_bearing_mean,32
spec_centroid_std_ema_30,33
spec_centroid_std_roll_5_mean,34
bp_1k_5k_mean_roll_3_std,35
peak_to_peak_mean_roll_10_std,36
peak_to_peak_mean_ema_30,37
peak_to_peak_mean_roll_5_mean,38
peak_to_peak_mean_ema_50,39
peak_to_peak_mean_roll_3_mean,40
peak_to_peak_mean,41
skew_mean_bearing_min,42
peak_to_peak_mean_bearing_max,43
spec_centroid_std_roll_3_mean,44
spec_centroid_std_ema_50,45
spec_centroid_mean_bearing_range,46
peak_to_peak_std_roll_10_std,47
bp_1k_5k_std_roll_3_std,48
crest_factor_mean_bearing_max,49
spec_centroid_std_bearing_max,50
