feature,importance
bp_1k_5k_mean_ema_10,1716
kurtosis_mean_ema_10,1624
spec_centroid_mean_ema_30,1394
spec_centroid_mean_bearing_range,1328
std_mean_bearing_max,1144
bp_1k_5k_mean_bearing_min,1093
spec_centroid_std_ema_10,1076
peak_to_peak_mean_ema_10,888
spec_centroid_mean_zscore,807
peak_to_peak_std_roll_10_std,710
skew_mean_bearing_min,676
bp_1k_5k_std_ema_10,673
bp_1k_5k_std_roll_10_mean,594
bp_1k_5k_std_roll_10_std,589
kurtosis_mean_bearing_range,574
crest_factor_mean_bearing_max,510
bp_1k_5k_mean_roll_10_std,506
spec_centroid_std_bearing_min,500
peak_to_peak_mean_roll_10_std,485
bp_1k_5k_std_roll_5_std,470
peak_to_peak_mean_bearing_min,464
rms_mean_zscore,464
bp_1k_5k_mean_zscore,458
spec_centroid_std_bearing_max,449
bp_1k_5k_mean_roll_3_std,438
bp_1k_5k_std_bearing_max,431
bp_1k_5k_std_bearing_min,419
peak_to_peak_mean_bearing_max,411
bp_1k_5k_std_bearing_mean,406
spec_centroid_std_roll_10_mean,403
bp_1k_5k_std_roll_5_mean,393
bp_1k_5k_mean_roll_5_std,388
bp_1k_5k_std_roll_3_std,379
spec_centroid_std_roll_5_mean,376
spec_centroid_std_bearing_mean,368
spec_centroid_std_zscore,327
rms_mean,319
bp_1k_5k_std_roll_3_mean,319
bp_1k_5k_std,315
spec_centroid_std_ema_30,298
peak_to_peak_mean_zscore,289
peak_to_peak_mean_roll_5_mean,284
peak_to_peak_mean_ema_30,277
bp_1k_5k_std_ema_30,262
spec_centroid_std_roll_3_mean,243
bp_1k_5k_std_ema_50,219
peak_to_peak_mean_roll_3_mean,196
spec_centroid_std_ema_50,192
peak_to_peak_mean_ema_50,171
peak_to_peak_mean,131
